id,which_grant,funder_id,funder_name,award_id
W4380551319,1,F4320317220,National Energy Research Scientific Computing Center,DE-AC02-05CH11231
W4380551319,2,F4320332359,Office of Science,DE-AC02-05CH11231
W4390505763,1,F4320321001,National Natural Science Foundation of China,52372252
W4390505763,2,F4320321514,Central South University,NA
W4400418136,1,F4320317220,National Energy Research Scientific Computing Center,DE-AC02-05CH11231
W4400418136,2,F4320332359,Office of Science,DE-AC02-05CH11231
W4400418136,3,F4320337404,Division of Astronomical Sciences,AST-0950945
W4394689051,1,F4320306076,National Science Foundation,CBET- 2312247
W4394689051,2,F4320306076,National Science Foundation,OIA-2132021
W4394689051,3,F4320306076,National Science Foundation,CBET-2038083
W4394689051,4,F4320337480,Basic Energy Sciences,NA
W4395469001,1,F4320306076,National Science Foundation,2219347
W4395469001,2,F4320306076,National Science Foundation,IIP-1916776
W4395469001,3,F4320306076,National Science Foundation,1636306
W4395469001,4,F4320306076,National Science Foundation,IIP-1362033
W4395469001,5,F4320306084,U.S. Department of Energy,DE-NA0003962
W4395469001,6,F4320306084,U.S. Department of Energy,DE-NA-0003525
W4395469001,7,F4320306196,Welch Foundation,AT-0029
W4395469001,8,F4320332467,U.S. Air Force,FA8650-23-C-5006
W4395469001,9,F4320332467,U.S. Air Force,ONR/STTR N68335-18-C-0368
W4395469001,10,F4320338279,Air Force Office of Scientific Research,FA9550-21-1-0455
W4395469001,11,F4320338279,Air Force Office of Scientific Research,N68335-19C-0303
W4395468216,1,F4320320879,Deutsche Forschungsgemeinschaft,314905040
W4395468216,2,F4320320879,Deutsche Forschungsgemeinschaft,390838134
W4395468216,3,F4320320879,Deutsche Forschungsgemeinschaft,390900677
W4394673691,1,F4320306076,National Science Foundation,NA
W4394673691,2,F4320306084,U.S. Department of Energy,DE-AC02-05CH11231
W4394673691,3,F4320306202,Gordon and Betty Moore Foundation,NA
W4394673691,4,F4320317220,National Energy Research Scientific Computing Center,NA
W4394673691,5,F4320321739,Consejo Nacional de Ciencia y Tecnología,NA
W4394673691,6,F4320334632,Science and Technology Facilities Council,NA
W4394673691,7,F4320337404,Division of Astronomical Sciences,AST-0950945
W4390928592,1,F4320306076,National Science Foundation,NA
W4390928592,2,F4320306084,U.S. Department of Energy,DE–AC02–05CH11231
W4390928592,3,F4320306202,Gordon and Betty Moore Foundation,NA
W4390928592,4,F4320321739,Consejo Nacional de Ciencia y Tecnología,NA
W4390928592,5,F4320322930,Ministerio de Ciencia e Innovación,NA
W4390928592,6,F4320334632,Science and Technology Facilities Council,NA
W4390928592,7,F4320337404,Division of Astronomical Sciences,AST-0950945
W4396604696,1,F4320321001,National Natural Science Foundation of China,ZK21-33
W4396604696,2,F4320335768,National Postdoctoral Program for Innovative Talents,BX20200101
W4390918193,1,F4320306076,National Science Foundation,DMR-2105139
W4390918193,2,F4320306076,National Science Foundation,DMR-1945351
W4390918193,3,F4320320879,Deutsche Forschungsgemeinschaft,Excellence Strategy-EXC-2111-390814868
W4390918193,4,F4320320879,Deutsche Forschungsgemeinschaft,SPP 2244
W4391836388,1,F4320306076,National Science Foundation,2023752
W4391836388,2,F4320306084,U.S. Department of Energy,NA
W4391836388,3,F4320309895,Carl-Zeiss-Stiftung,NA
W4391836388,4,F4320319398,Honeywell,NA
W4391836388,5,F4320320300,European Commission,101070287
W4391836388,6,F4320320671,National Research Foundation,NA
W4391836388,7,F4320320696,"Agency for Science, Technology and Research",RIE2020
W4391836388,8,F4320320879,Deutsche Forschungsgemeinschaft,320163632
W4391836388,9,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,2021/96774-4
W4391836388,10,F4320321001,National Natural Science Foundation of China,61925603
W4391836388,11,F4320322581,Vetenskapsrådet,2016-05980
W4391836388,12,F4320322749,Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro,210.069/2020
W4391836388,13,F4320326622,Instituto Nacional de Ciência e Tecnologia de Informação Quântica,246569/2014-0
W4391836388,14,F4320332195,Samsung,NA
W4391836388,15,F4320334764,Japan Society for the Promotion of Science,20H04255
W4391836388,16,F4320337345,Office of Naval Research,NA
W4391836388,17,F4320337547,Laboratory Directed Research and Development,NA
W4391836388,18,F4320338111,Precursory Research for Embryonic Science and Technology,NA
W4390904929,1,F4320306076,National Science Foundation,2306093
W4390904929,2,F4320332276,Advanced Research Projects Agency - Energy,DE-AR0001677
W4390904929,3,F4320338279,Air Force Office of Scientific Research,FA9550-20-1-033
W4403085522,1,F4320306076,National Science Foundation,NA
W4403085522,2,F4320306084,U.S. Department of Energy,DE-SC0023241
W4403085522,3,F4320306084,U.S. Department of Energy,DE-AC02-05CH1123
W4403085522,4,F4320306084,U.S. Department of Energy,DE-SC0019091
W4403085522,5,F4320334704,Australian Research Council,DP20220101395
W4403085522,6,F4320334704,Australian Research Council,FL180100168
W4403085522,7,F4320338292,Lawrence Berkeley National Laboratory,NA
W4392853137,1,F4320324433,King Khalid University,NA
W4398184132,1,F4320321001,National Natural Science Foundation of China,52072105
W4400248620,1,F4320306076,National Science Foundation,EAR-2143164
W4390630231,1,F4320312926,Crohn's and Colitis Foundation,695759
W4390630231,2,F4320332161,National Institutes of Health,K23DK129835
W4391514605,1,F4320312926,Crohn's and Colitis Foundation,695759
W4391514605,2,F4320337357,National Institute of Diabetes and Digestive and Kidney Diseases,K23DK129835
W4391787901,1,F4320324099,Russian Science Foundation,AAAA‐A18‐118012490100‐7
W4392504000,1,F4320310344,South Dakota State University,SDSU-RSCA F24
W4392504000,2,F4320310345,"Jerome J. Lohr College of Engineering, South Dakota State University",startup
W4398167126,1,F4320327708,University of Texas at Dallas,NA
W4398167126,2,F4320338464,Natural Science Foundation of Zhejiang Province,LY23E060004
W4391177325,1,F4320306076,National Science Foundation,DMR- 2003534
W4391177325,2,F4320306196,Welch Foundation,AT-198920190330
W4397030717,1,F4320306076,National Science Foundation,CMMI-1726435
W4397030717,2,F4320306076,National Science Foundation,CMMI-2219347
W4397030717,3,F4320306076,National Science Foundation,IIP-1362033
W4397030717,4,F4320306076,National Science Foundation,IIP-1916776
W4397030717,5,F4320306084,U.S. Department of Energy,DE-NA0003962
W4397030717,6,F4320306084,U.S. Department of Energy,DE-NA-0003525
W4392631687,1,F4320321001,National Natural Science Foundation of China,52372252
W4392631687,2,F4320321001,National Natural Science Foundation of China,51932011
W4400060555,1,F4320306196,Welch Foundation,AT-0041
W4400060555,2,F4320337354,National Institute of General Medical Sciences,GM120281
W4400060555,3,F4320337393,Division of Chemistry,2246075
W4391151816,1,F4320306076,National Science Foundation,CHE1531468
W4391151816,2,F4320306076,National Science Foundation,OAC-2117247
W4391151816,3,F4320332161,National Institutes of Health,R01GM108583
W4391151816,4,F4320332454,American Chemical Society Petroleum Research Fund,PRF#61360-ND10
W4391304210,1,F4320306076,National Science Foundation,MCB-1943442
W4391304210,2,F4320332161,National Institutes of Health,R35GM133631
W4394929007,1,F4320306076,National Science Foundation,DMR-2219788
W4394929007,2,F4320306111,U.S. Department of Commerce,NA
W4394929007,3,F4320312661,American Petroleum Institute,NA
W4394929007,4,F4320317161,Swedish e-Science Research Centre,NA
W4394929007,5,F4320320006,Royal Society,NA
W4394929007,6,F4320320879,Deutsche Forschungsgemeinschaft,460197019
W4394929007,7,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,205602
W4394929007,8,F4320321001,National Natural Science Foundation of China,62376258
W4394929007,9,F4320322581,Vetenskapsrådet,2020-05402
W4394929007,10,F4320331149,Board of the Swiss Federal Institutes of Technology,PREMISE
W4394929007,11,F4320332178,National Institute of Standards and Technology,NA
W4394929007,12,F4320332999,Horizon 2020 Framework Programme,945539
W4394929007,13,F4320332999,Horizon 2020 Framework Programme,720270
W4394929007,14,F4320332999,Horizon 2020 Framework Programme,785907
W4394929007,15,F4320332999,Horizon 2020 Framework Programme,823830
W4394929007,16,F4320332999,Horizon 2020 Framework Programme,DMR-675728
W4394929007,17,F4320334322,HORIZON EUROPE Framework Programme,101094651
W4394929007,18,F4320334322,HORIZON EUROPE Framework Programme,101093290
W4394929007,19,F4320334627,Engineering and Physical Sciences Research Council,EP/T022221/1
W4394929007,20,F4320334627,Engineering and Physical Sciences Research Council,EP/T026375/1
W4394929007,21,F4320334627,Engineering and Physical Sciences Research Council,EP/T026642/1
W4394929007,22,F4320334627,Engineering and Physical Sciences Research Council,EP/P022561/1
W4394929007,23,F4320337480,Basic Energy Sciences,DE-AC02-05-CH11231
W4394929007,24,F4320338337,H2020 Marie Skłodowska-Curie Actions,847587
W4398238003,1,F4320321001,National Natural Science Foundation of China,NA
W4398238003,2,F4320322843,Natural Science Foundation of Hunan Province,NA
W4399666271,1,F4320321001,National Natural Science Foundation of China,62271399
W4399666271,2,F4320321001,National Natural Science Foundation of China,61901015
W4399666271,3,F4320321001,National Natural Science Foundation of China,62071250
W4400870346,1,F4320322887,The Research Council,BFP/RGP/EBR/22/211
W4400870346,2,F4320335726,"Deanship of Scientific Research, King Saud University",RSP2024R15
W4401389758,1,F4320307102,Intel Corporation,NA
W4401389758,2,F4320332178,National Institute of Standards and Technology,70NANB17H041
W4401389758,3,F4320337345,Office of Naval Research,N00014-20-1-2600
W4401389758,4,F4320337367,Division of Materials Research,2016453
W4401389758,5,F4320337367,Division of Materials Research,2002741
W4391109409,1,F4320306196,Welch Foundation,AT-1153
W4391617685,1,F4320306080,Foundation for the National Institutes of Health,R01CA243577
W4391617685,2,F4320306080,Foundation for the National Institutes of Health,R00CA215301
W4391617685,3,F4320306080,Foundation for the National Institutes of Health,P01CA084203
W4391617685,4,F4320308129,Cancer Prevention and Research Institute of Texas,RP180670
W4391617685,5,F4320327708,University of Texas at Dallas,NA
W4391992405,1,F4320306076,National Science Foundation,2306093
W4391992405,2,F4320332276,Advanced Research Projects Agency - Energy,DE-AR0001677
W4391992405,3,F4320338279,Air Force Office of Scientific Research,FA9550-20-1-033
W4392081815,1,F4320332161,National Institutes of Health,R21 AG069267
W4392514395,1,F4320306114,U.S. Department of Agriculture,NA
W4392514395,2,F4320332222,University of Illinois at Urbana-Champaign,NA
W4392514395,3,F4320332299,National Institute of Food and Agriculture,ILLU-741-359
W4395692770,1,F4320306076,National Science Foundation,2044348
W4395692770,2,F4320306084,U.S. Department of Energy,DE‐AC05‐00OR22725
W4395692770,3,F4320306084,U.S. Department of Energy,DE‐SC0014664
W4396533741,1,F4320306196,Welch Foundation,B‐0027
W4396533741,2,F4320321145,King Saud University,NA
W4396533741,3,F4320337480,Basic Energy Sciences,DE‐AC02‐06CH11357
