id,which_mesh,term,is_major_topic,qualifier_name
W2154673434,1,Algorithms,TRUE,
W2154673434,2,Breast Neoplasms,TRUE,diagnostic imaging
W2154673434,3,Calcinosis,TRUE,diagnostic imaging
W2154673434,4,Mammography,TRUE,methods
W2154673434,5,Precancerous Conditions,TRUE,diagnostic imaging
W2154673434,6,"Radiographic Image Interpretation, Computer-Assisted",TRUE,methods
W2154673434,7,Adult,FALSE,
W2154673434,8,Aged,FALSE,
W2154673434,9,"Aged, 80 and over",FALSE,
W2154673434,10,Breast Neoplasms,FALSE,
W2154673434,11,Calcinosis,FALSE,
W2154673434,12,Female,FALSE,
W2154673434,13,Humans,FALSE,
W2154673434,14,Male,FALSE,
W2154673434,15,Mammography,FALSE,
W2154673434,16,Middle Aged,FALSE,
W2154673434,17,Precancerous Conditions,FALSE,
W2154673434,18,Radiographic Image Enhancement,FALSE,
W2154673434,19,Radiographic Image Enhancement,FALSE,methods
W2154673434,20,"Radiographic Image Interpretation, Computer-Assisted",FALSE,
W2154673434,21,Reproducibility of Results,FALSE,
W2154673434,22,Sensitivity and Specificity,FALSE,
W1993257273,1,Anti-Bacterial Agents,TRUE,pharmacology
W1993257273,2,Sudden Infant Death,TRUE,etiology
W1993257273,3,Case-Control Studies,FALSE,
W1993257273,4,Computer Simulation,FALSE,
W1993257273,5,Female,FALSE,
W1993257273,6,Humans,FALSE,
W1993257273,7,Infant,FALSE,
W1993257273,8,Logistic Models,FALSE,
W1993257273,9,Maternal Exposure,FALSE,
W1985655487,1,Breast Neoplasms,TRUE,diagnosis
W1985655487,2,Mammography,TRUE,methods
W1985655487,3,Radiation Oncology,TRUE,methods
W1985655487,4,Algorithms,FALSE,
W1985655487,5,Breast,FALSE,
W1985655487,6,Breast,FALSE,physiology
W1985655487,7,Breast Neoplasms,FALSE,
W1985655487,8,Computer Simulation,FALSE,
W1985655487,9,Female,FALSE,
W1985655487,10,Fractals,FALSE,
W1985655487,11,Humans,FALSE,
W1985655487,12,"Image Processing, Computer-Assisted",FALSE,
W1985655487,13,"Image Processing, Computer-Assisted",FALSE,methods
W1985655487,14,Mammography,FALSE,
W1985655487,15,Mammography,FALSE,instrumentation
W1985655487,16,"Models, Statistical",FALSE,
W1985655487,17,Normal Distribution,FALSE,
W1985655487,18,"Phantoms, Imaging",FALSE,
W1985655487,19,Radiation Oncology,FALSE,
W1985655487,20,Regression Analysis,FALSE,
W1985655487,21,Software,FALSE,
W2109904151,1,Biomedical Research,TRUE,
W2109904151,2,Database Management Systems,TRUE,
W2109904151,3,Documentation,TRUE,
W2109904151,4,Medical Informatics,TRUE,
W2109904151,5,Translational Medical Research,TRUE,
W2109904151,6,Animals,FALSE,
W2109904151,7,Computational Biology,FALSE,
