id,abstract_len,doi,jrnl,title,pub_date,retracted,cite_count,pub_type,pub_type_crossref,pmid,which_athr,athr_id,athr_pos,raw_affl,athr_name,inst,inst_id,which_affl
W2090648204,0,https://doi.org/10.1016/s1369-7021(07)70048-2,Materials Today,Polymer artificial muscles,2007-04-01,FALSE,881,article,journal-article,,1,A5038479198,first,,Tissaphern Mirfakhrai,,I141945490,1
W2090648204,0,https://doi.org/10.1016/s1369-7021(07)70048-2,Materials Today,Polymer artificial muscles,2007-04-01,FALSE,881,article,journal-article,,2,A5010894574,middle,,John D. W. Madden,,I141945490,1
W2090648204,0,https://doi.org/10.1016/s1369-7021(07)70048-2,Materials Today,Polymer artificial muscles,2007-04-01,FALSE,881,article,journal-article,,3,A5007837550,last,,Ray H. Baughman,,I162577319,1
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,1,A5087717847,first,,Yujie Xiong,,I162577319,1
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,1,A5087717847,first,,Yujie Xiong,,I201448701,2
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,2,A5109127260,middle,,Honggang Cai,,I162577319,1
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,2,A5109127260,middle,,Honggang Cai,,I201448701,2
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,3,A5049472213,middle,,Benjamin J. Wiley,,I162577319,1
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,3,A5049472213,middle,,Benjamin J. Wiley,,I201448701,2
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,4,A5100633389,middle,,Jinguo Wang,,I162577319,1
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,4,A5100633389,middle,,Jinguo Wang,,I201448701,2
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,5,A5073613442,middle,,Moon J. Kim,,I162577319,1
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,5,A5073613442,middle,,Moon J. Kim,,I201448701,2
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,6,A5041556229,last,,Younan Xia,,I162577319,1
W2015847862,136,https://doi.org/10.1021/ja0688023,Journal of the American Chemical Society,Synthesis and Mechanistic Study of Palladium Nanobars and Nanorods,2007-03-01,FALSE,576,article,journal-article,17335211,6,A5041556229,last,,Younan Xia,,I201448701,2
W2109785846,0,https://doi.org/10.1007/s11276-006-0724-8,Wireless Networks,Relay sensor placement in wireless sensor networks,2007-01-04,FALSE,488,article,journal-article,,1,A5100692488,first,,Xiuzhen Cheng,,I193531525,1
W2109785846,0,https://doi.org/10.1007/s11276-006-0724-8,Wireless Networks,Relay sensor placement in wireless sensor networks,2007-01-04,FALSE,488,article,journal-article,,2,A5037860988,middle,,Ding‐Zhu Du,,I162577319,1
W2109785846,0,https://doi.org/10.1007/s11276-006-0724-8,Wireless Networks,Relay sensor placement in wireless sensor networks,2007-01-04,FALSE,488,article,journal-article,,3,A5065315257,middle,,Lusheng Wang,,I168719708,1
W2109785846,0,https://doi.org/10.1007/s11276-006-0724-8,Wireless Networks,Relay sensor placement in wireless sensor networks,2007-01-04,FALSE,488,article,journal-article,,4,A5005438969,last,,Baogang Xu,,I152031979,1
W2117965437,116,https://doi.org/10.1109/jssc.2007.900281,IEEE Journal of Solid-State Circuits,A Transient-Enhanced Low-Quiescent Current Low-Dropout Regulator With Buffer Impedance Attenuation,2007-08-01,FALSE,373,article,journal-article,,1,A5053612573,first,,Mohammad Al-Shyoukh,,I162577319,1
W2117965437,116,https://doi.org/10.1109/jssc.2007.900281,IEEE Journal of Solid-State Circuits,A Transient-Enhanced Low-Quiescent Current Low-Dropout Regulator With Buffer Impedance Attenuation,2007-08-01,FALSE,373,article,journal-article,,1,A5053612573,first,,Mohammad Al-Shyoukh,,I74760111,2
W2117965437,116,https://doi.org/10.1109/jssc.2007.900281,IEEE Journal of Solid-State Circuits,A Transient-Enhanced Low-Quiescent Current Low-Dropout Regulator With Buffer Impedance Attenuation,2007-08-01,FALSE,373,article,journal-article,,2,A5035105400,middle,,Hoi Lee,,I162577319,1
W2117965437,116,https://doi.org/10.1109/jssc.2007.900281,IEEE Journal of Solid-State Circuits,A Transient-Enhanced Low-Quiescent Current Low-Dropout Regulator With Buffer Impedance Attenuation,2007-08-01,FALSE,373,article,journal-article,,3,A5090294881,last,,R. Rivas‐Perez,,,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,1,A5000605714,first,,J. Dénis N. Pone,,I130769515,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,2,A5083099790,middle,,Kim A.A. Hein,,I192619145,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,3,A5009837058,middle,,Glenn B. Stracher,,I898538061,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,4,A5009058207,middle,,H.J. Annegarn,,I24027795,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,5,A5084873275,middle,,Robert B. Finkleman,,I162577319,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,6,A5046694694,middle,,D. R. Blake,,I204250578,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,7,A5108773493,middle,,John K. McCormack,,I134113660,1
W2045835365,0,https://doi.org/10.1016/j.coal.2007.01.001,International Journal of Coal Geology,The spontaneous combustion of coal and its by-products in the Witbank and Sasolburg coalfields of South Africa,2007-01-22,FALSE,306,article,journal-article,,8,A5091365379,last,,Paul A. Schroeder,,I165733156,1
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,1,A5001806074,first,,Matthew E. Merritt,,I867280407,1
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,2,A5058286269,middle,,Crystal Harrison,,I162577319,1
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,2,A5058286269,middle,,Crystal Harrison,,I867280407,2
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,2,A5058286269,middle,,Crystal Harrison,,I4388891891,3
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,3,A5064929048,middle,,Charles J. Storey,,I867280407,1
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,4,A5090625109,middle,,F. Mark H. Jeffrey,,I867280407,1
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,5,A5039095005,middle,,A. Dean Sherry,,I4210145671,1
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,6,A5082306736,last,,Craig R. Malloy,,I4210145671,1
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,6,A5082306736,last,,Craig R. Malloy,,I867280407,2
W2004311009,130,https://doi.org/10.1073/pnas.0706235104,Proceedings of the National Academy of Sciences,Hyperpolarized <sup>13</sup> C allows a direct measure of flux through a single enzyme-catalyzed step by NMR,2007-12-04,FALSE,273,article,journal-article,18056642,6,A5082306736,last,,Craig R. Malloy,,I4210104138,3
