id,which_topic,topic_id,topic,subfield_id,subfield,field,field_id,domain_id,domain
W2080148317,1,T10074,Carbon Nanotubes in Composites,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W2080148317,2,T14089,Nanotechnology research and applications,2204,Biomedical Engineering,Engineering,22,3,Physical Sciences
W2080148317,3,T11449,Mechanical and Optical Resonators,3107,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,31,3,Physical Sciences
W1566514932,1,T10001,Geological and Geochemical Analysis,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W1566514932,2,T12157,Geochemistry and Geologic Mapping,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W1566514932,3,T10110,earthquake and tectonic studies,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2104793191,1,T10283,Hearing Loss and Rehabilitation,2805,Cognitive Neuroscience,Neuroscience,28,1,Life Sciences
W2104793191,2,T10788,Neuroscience and Music Perception,2805,Cognitive Neuroscience,Neuroscience,28,1,Life Sciences
W2104793191,3,T10334,"Hearing, Cochlea, Tinnitus, Genetics",2809,Sensory Systems,Neuroscience,28,1,Life Sciences
W2161726009,1,T10001,Geological and Geochemical Analysis,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2161726009,2,T10110,earthquake and tectonic studies,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2161726009,3,T10413,High-pressure geophysics and materials,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2061641422,1,T11016,Monoclonal and Polyclonal Antibodies Research,2741,"Radiology, Nuclear Medicine and Imaging",Medicine,27,4,Health Sciences
W2061641422,2,T10602,Glycosylation and Glycoproteins Research,1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",13,1,Life Sciences
W2061641422,3,T10031,T-cell and B-cell Immunology,2403,Immunology,Immunology and Microbiology,24,1,Life Sciences
W2155998647,1,T10860,Speech and Audio Processing,1711,Signal Processing,Computer Science,17,3,Physical Sciences
W2155998647,2,T11233,Advanced Adaptive Filtering Techniques,2206,Computational Mechanics,Engineering,22,3,Physical Sciences
W2155998647,3,T10283,Hearing Loss and Rehabilitation,2805,Cognitive Neuroscience,Neuroscience,28,1,Life Sciences
W2109983572,1,T11279,Lanthanide and Transition Metal Complexes,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W2109983572,2,T10378,Advanced MRI Techniques and Applications,2741,"Radiology, Nuclear Medicine and Imaging",Medicine,27,4,Health Sciences
W2109983572,3,T12381,Electron Spin Resonance Studies,1304,Biophysics,"Biochemistry, Genetics and Molecular Biology",13,1,Life Sciences
W2128847471,1,T10001,Geological and Geochemical Analysis,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2128847471,2,T10413,High-pressure geophysics and materials,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2128847471,3,T13443,Mineralogy and Gemology Studies,1906,Geochemistry and Petrology,Earth and Planetary Sciences,19,3,Physical Sciences
W2101042021,1,T10860,Speech and Audio Processing,1711,Signal Processing,Computer Science,17,3,Physical Sciences
W2101042021,2,T10283,Hearing Loss and Rehabilitation,2805,Cognitive Neuroscience,Neuroscience,28,1,Life Sciences
W2101042021,3,T11309,Music and Audio Processing,1711,Signal Processing,Computer Science,17,3,Physical Sciences
W2129758682,1,T10824,Image Retrieval and Classification Techniques,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2129758682,2,T10627,Advanced Image and Video Retrieval Techniques,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2129758682,3,T11439,Video Analysis and Summarization,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W1480848562,1,T10338,Advanced Sensor and Energy Harvesting Materials,2204,Biomedical Engineering,Engineering,22,3,Physical Sciences
W1480848562,2,T11737,Advanced Materials and Mechanics,2210,Mechanical Engineering,Engineering,22,3,Physical Sciences
W1480848562,3,T10660,Conducting polymers and applications,2507,Polymers and Plastics,Materials Science,25,3,Physical Sciences
W2093381928,1,T10246,Mobile Ad Hoc Networks,1705,Computer Networks and Communications,Computer Science,17,3,Physical Sciences
W2093381928,2,T10796,Cooperative Communication and Network Coding,1705,Computer Networks and Communications,Computer Science,17,3,Physical Sciences
W2093381928,3,T11896,Opportunistic and Delay-Tolerant Networks,1705,Computer Networks and Communications,Computer Science,17,3,Physical Sciences
W2096830520,1,T10400,Network Security and Intrusion Detection,1705,Computer Networks and Communications,Computer Science,17,3,Physical Sciences
W2096830520,2,T10734,Information and Cyber Security,1710,Information Systems,Computer Science,17,3,Physical Sciences
W2096830520,3,T11644,Spam and Phishing Detection,1710,Information Systems,Computer Science,17,3,Physical Sciences
W2155967422,1,T10001,Geological and Geochemical Analysis,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2155967422,2,T10413,High-pressure geophysics and materials,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2155967422,3,T10110,earthquake and tectonic studies,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2108844550,1,T10017,Geology and Paleoclimatology Research,1902,Atmospheric Science,Earth and Planetary Sciences,19,3,Physical Sciences
W2108844550,2,T10109,Paleontology and Stratigraphy of Fossils,1911,Paleontology,Earth and Planetary Sciences,19,3,Physical Sciences
W2108844550,3,T10001,Geological and Geochemical Analysis,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W3122485362,1,T10551,Scheduling and Optimization Algorithms,2209,Industrial and Manufacturing Engineering,Engineering,22,3,Physical Sciences
W3122485362,2,T11814,Advanced Manufacturing and Logistics Optimization,2209,Industrial and Manufacturing Engineering,Engineering,22,3,Physical Sciences
W3122485362,3,T12782,Assembly Line Balancing Optimization,2209,Industrial and Manufacturing Engineering,Engineering,22,3,Physical Sciences
W2107497073,1,T11448,Face recognition and analysis,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2107497073,2,T10057,Face and Expression Recognition,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2107497073,3,T10331,Video Surveillance and Tracking Methods,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2886612453,1,T10660,Conducting polymers and applications,2507,Polymers and Plastics,Materials Science,25,3,Physical Sciences
W2886612453,2,T10338,Advanced Sensor and Energy Harvesting Materials,2204,Biomedical Engineering,Engineering,22,3,Physical Sciences
W2886612453,3,T11128,Transition Metal Oxide Nanomaterials,2507,Polymers and Plastics,Materials Science,25,3,Physical Sciences
W2050338037,1,T10159,Ionosphere and magnetosphere dynamics,3103,Astronomy and Astrophysics,Physics and Astronomy,31,3,Physical Sciences
W2050338037,2,T10655,GNSS positioning and interference,2202,Aerospace Engineering,Engineering,22,3,Physical Sciences
W2050338037,3,T12424,Earthquake Detection and Analysis,1908,Geophysics,Earth and Planetary Sciences,19,3,Physical Sciences
W2113319198,1,T11417,Advancements in PLL and VCO Technologies,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2113319198,2,T10187,Radio Frequency Integrated Circuit Design,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2113319198,3,T11444,Electromagnetic Compatibility and Noise Suppression,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2102026449,1,T11272,Nanowire Synthesis and Applications,2204,Biomedical Engineering,Engineering,22,3,Physical Sciences
W2102026449,2,T10558,Advancements in Semiconductor Devices and Circuit Design,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2102026449,3,T10472,Semiconductor materials and devices,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2020915745,1,T10660,Conducting polymers and applications,2507,Polymers and Plastics,Materials Science,25,3,Physical Sciences
W2020915745,2,T10212,Electrochemical sensors and biosensors,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2020915745,3,T10338,Advanced Sensor and Energy Harvesting Materials,2204,Biomedical Engineering,Engineering,22,3,Physical Sciences
W1974327005,1,T10074,Carbon Nanotubes in Composites,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W1974327005,2,T10083,Graphene research and applications,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W1974327005,3,T11419,Supramolecular Self-Assembly in Materials,2502,Biomaterials,Materials Science,25,3,Physical Sciences
W2169160438,1,T10617,Cellular transport and secretion,1307,Cell Biology,"Biochemistry, Genetics and Molecular Biology",13,1,Life Sciences
W2169160438,2,T10407,Lipid Membrane Structure and Behavior,1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",13,1,Life Sciences
W2169160438,3,T12286,Erythrocyte Function and Pathophysiology,2737,Physiology,Medicine,27,4,Health Sciences
W1976922193,1,T10074,Carbon Nanotubes in Composites,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W1976922193,2,T10179,Supercapacitor Materials and Fabrication,2504,"Electronic, Optical and Magnetic Materials",Materials Science,25,3,Physical Sciences
W1976922193,3,T10083,Graphene research and applications,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W2005589638,1,T12346,Phytochemistry and biological activity of medicinal plants,1110,Plant Science,Agricultural and Biological Sciences,11,1,Life Sciences
W2005589638,2,T10869,Polysaccharides and Plant Cell Walls,1110,Plant Science,Agricultural and Biological Sciences,11,1,Life Sciences
W2005589638,3,T12087,Natural Compound Pharmacology Studies,1110,Plant Science,Agricultural and Biological Sciences,11,1,Life Sciences
W2154876830,1,T10095,Cosmology and Gravitation Theories,3103,Astronomy and Astrophysics,Physics and Astronomy,31,3,Physical Sciences
W2154876830,2,T10026,"Galaxies: Formation, Evolution, Phenomena",3103,Astronomy and Astrophysics,Physics and Astronomy,31,3,Physical Sciences
W2154876830,3,T11405,Geophysics and Gravity Measurements,1910,Oceanography,Earth and Planetary Sciences,19,3,Physical Sciences
W1991265458,1,T11419,Supramolecular Self-Assembly in Materials,2502,Biomaterials,Materials Science,25,3,Physical Sciences
W1991265458,2,T10074,Carbon Nanotubes in Composites,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W1991265458,3,T10083,Graphene research and applications,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W2043814069,1,T10181,Natural Language Processing Techniques,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2043814069,2,T10028,Topic Modeling,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2043814069,3,T12031,Speech and dialogue systems,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2128357666,1,T10461,Gas Sensing Nanomaterials and Sensors,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2128357666,2,T11449,Mechanical and Optical Resonators,3107,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,31,3,Physical Sciences
W2128357666,3,T10074,Carbon Nanotubes in Composites,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W2055702261,1,T10660,Conducting polymers and applications,2507,Polymers and Plastics,Materials Science,25,3,Physical Sciences
W2055702261,2,T11472,Analytical Chemistry and Sensors,1502,Bioengineering,Chemical Engineering,15,3,Physical Sciences
W2055702261,3,T10212,Electrochemical sensors and biosensors,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2063756856,1,T10660,Conducting polymers and applications,2507,Polymers and Plastics,Materials Science,25,3,Physical Sciences
W2063756856,2,T10338,Advanced Sensor and Energy Harvesting Materials,2204,Biomedical Engineering,Engineering,22,3,Physical Sciences
W2063756856,3,T10179,Supercapacitor Materials and Fabrication,2504,"Electronic, Optical and Magnetic Materials",Materials Science,25,3,Physical Sciences
W2111154026,1,T11279,Lanthanide and Transition Metal Complexes,2505,Materials Chemistry,Materials Science,25,3,Physical Sciences
W2111154026,2,T10973,Radioactive element chemistry and processing,1604,Inorganic Chemistry,Chemistry,16,3,Physical Sciences
