id,which_grant,funder_id,funder_name,award_id
W2015780328,1,F4320332161,National Institutes of Health,CA96994
W2015780328,2,F4320332161,National Institutes of Health,NS21328
W2015780328,3,F4320332161,National Institutes of Health,CA98912
W2080238836,1,F4320322918,Nordea-fonden,NA
W2117173889,1,F4320332161,National Institutes of Health,R41NS073378
W2117173889,2,F4320332161,National Institutes of Health,NS058710
W2117173889,3,F4320332161,National Institutes of Health,NS057255
W2117173889,4,F4320332161,National Institutes of Health,GM079044
W2117173889,5,F4320332161,National Institutes of Health,NS062097
W2117173889,6,F4320332161,National Institutes of Health,MH65099
W2077455300,1,F4320332161,National Institutes of Health,NA
W2145280442,1,F4320332161,National Institutes of Health,ES015813
W2145280442,2,F4320332161,National Institutes of Health,GM082828
W2145280442,3,F4320332161,National Institutes of Health,AG034126
W2145280442,4,F4320332161,National Institutes of Health,NS050650
W1983261603,1,F4320306270,Cancer and Leukemia Group B Foundation,NA
W1983261603,2,F4320337351,National Cancer Institute,CA31946
W2092965322,1,F4320306924,CURE Childhood Cancer,NA
W2092965322,2,F4320308295,Leukemia and Lymphoma Society,6033‐08
W2092965322,3,F4320332161,National Institutes of Health,NA
W2092965322,4,F4320337351,National Cancer Institute,R01 CA123490
W2092965322,5,F4320337351,National Cancer Institute,R01 CA143107
W2147851541,1,F4320321001,National Natural Science Foundation of China,21172223
W1968631737,1,F4320306679,Dystonia Medical Research Foundation,NA
W2111412978,1,F4320306078,U.S. Department of Defense,USAMRAA OR090571
W2064526649,1,F4320321001,National Natural Science Foundation of China,30973088
W2021583504,1,F4320337351,National Cancer Institute,3K01CA118174-5S1
W2021583504,2,F4320337351,National Cancer Institute,K01CA118174
W2059677958,1,F4320306230,American Heart Association,SDG0635175N
W2059677958,2,F4320306230,American Heart Association,R01HL089462-02S1
W2059677958,3,F4320306230,American Heart Association,R01HL089462
W2059677958,4,F4320332161,National Institutes of Health,SDG0635175N
W2059677958,5,F4320332161,National Institutes of Health,R01HL089462-02S1
W2059677958,6,F4320332161,National Institutes of Health,R01HL089462
W158411683,1,F4320337338,"National Heart, Lung, and Blood Institute",NA
W158411683,2,F4320337347,National Institute on Drug Abuse,DA030996
W1982932084,1,F4320332161,National Institutes of Health,R01CA108468
W1982932084,2,F4320332161,National Institutes of Health,U54CA119338
W2071256149,1,F4320337375,National Center for Research Resources,NA
W1994997240,1,F4320319325,Seaside Therapeutics,NA
W2029451367,1,F4320332161,National Institutes of Health,AI058828
W2062573495,1,F4320312514,Delta Research and Educational Foundation,NA
W2162136024,1,F4320307100,Woodruff Foundation,NA
W3176411468,1,F4320332161,National Institutes of Health,P01 DK54441
W11300943,1,F4320312425,Select Sires,R00-HL-09222601
W586999677,1,F4320332161,National Institutes of Health,DK060418
W3171282463,1,F4320332161,National Institutes of Health,DK55679
W3171282463,2,F4320332161,National Institutes of Health,DK61379
W3171282463,3,F4320332161,National Institutes of Health,DK59888
W3174230647,1,F4320332161,National Institutes of Health,R01 NSO55179
W3174644954,1,F4320332161,National Institutes of Health,RO1 DK41707
W3174644954,2,F4320332161,National Institutes of Health,T32 DK007771
W3175422406,1,F4320332161,National Institutes of Health,NA
W3175557353,1,F4320332161,National Institutes of Health,K24 RR023356
W3175557353,2,F4320332161,National Institutes of Health,T32 DK007298
W3176350994,1,F4320332161,National Institutes of Health,DK074519/HL102167
W3176411268,1,F4320332161,National Institutes of Health,T32 DK007298
W3176411268,2,F4320332161,National Institutes of Health,K24 RR023356
W3176687682,1,F4320332161,National Institutes of Health,5R37DK037963-25
W3176687682,2,F4320332161,National Institutes of Health,5K12GM000680-12
W3177049430,1,F4320332161,National Institutes of Health,P01 HL058000
W3177288577,1,F4320332161,National Institutes of Health,DK61379
W3177288577,2,F4320332161,National Institutes of Health,DK55679
W3177288577,3,F4320332161,National Institutes of Health,DK59888
W973178465,1,F4320306230,American Heart Association,7660020
W973178465,2,F4320332161,National Institutes of Health,T32 DK007656
W2091100650,1,F4320307773,GlaxoSmithKline,NA
W1971794028,1,F4320306080,Foundation for the National Institutes of Health,NA
W1971794028,2,F4320306219,Alzheimer's Association,NA
W1971794028,3,F4320306305,Dana Foundation,NA
W1971794028,4,F4320306493,Abbott Laboratories,NA
W1971794028,5,F4320307132,Alzheimer's Drug Discovery Foundation,NA
W1971794028,6,F4320307758,Eli Lilly and Company,NA
W1971794028,7,F4320307776,Merck,NA
W1971794028,8,F4320309432,F. Hoffmann-La Roche,NA
W1971794028,9,F4320310388,Novartis Pharmaceuticals Corporation,NA
W1971794028,10,F4320310465,Takeda Pharmaceutical Company,NA
W1971794028,11,F4320311551,Northern California Institute for Research and Education,NA
W1971794028,12,F4320320303,Bayer HealthCare,NA
W1971794028,13,F4320327235,Servier,NA
W1971794028,14,F4320332193,Genentech,NA
W1971794028,15,F4320332457,GE Healthcare,NA
W1971794028,16,F4320334506,Canadian Institutes of Health Research,NA
W1971794028,17,F4320337337,National Institute on Aging,NA
W1971794028,18,F4320337363,National Institute of Biomedical Imaging and Bioengineering,NA
W2105772341,1,F4320306076,National Science Foundation,DEB‐1050331
W2105772341,2,F4320306076,National Science Foundation,MCB‐1022128
W2166491123,1,F4320332161,National Institutes of Health,R21 CA155964
W1994086483,1,F4320332161,National Institutes of Health,1R01GM080403
W2019534224,1,F4320332161,National Institutes of Health,1R03MH090849-01
W2019534224,2,F4320332161,National Institutes of Health,1R03DA031670-01
W2019534224,3,F4320332161,National Institutes of Health,1R03MH090837-01
W2019534224,4,F4320332161,National Institutes of Health,U54MH084659
W2019534224,5,F4320332161,National Institutes of Health,U54MH084691
W2148574755,1,F4320309724,Fondazione IRCCS Policlinico San Matteo,NA
W2148574755,2,F4320332161,National Institutes of Health,HL68880
W2055784403,1,F4320332161,National Institutes of Health,MH079299
W2055784403,2,F4320332161,National Institutes of Health,ES013125
W2055784403,3,F4320332161,National Institutes of Health,HD064727
W2121019162,1,F4320306193,John Templeton Foundation,NA
W2111497153,1,F4320332161,National Institutes of Health,LM010040
W2111497153,2,F4320337354,National Institute of General Medical Sciences,HL065962
W2111497153,3,F4320337355,National Institute of Allergy and Infectious Diseases,T32 AI007001
W2091260365,1,F4320320879,Deutsche Forschungsgemeinschaft,CA89450
W2091260365,2,F4320322572,Studienstiftung des Deutschen Volkes,CA89450
W2091260365,3,F4320332161,National Institutes of Health,CA89450
W1985714716,1,F4320322120,National Research Foundation of Korea,NA
W1985714716,2,F4320322349,"Ministry of Education, Science and Technology",NA
W1985714716,3,F4320332161,National Institutes of Health,R31-10089
W1985714716,4,F4320332161,National Institutes of Health,P30-EY008126
W1985714716,5,F4320332161,National Institutes of Health,EY13358
W1988427943,1,F4320332161,National Institutes of Health,P30 AG010129
W1988427943,2,F4320332161,National Institutes of Health,K01 AG030514
W1988427943,3,F4320337337,National Institute on Aging,NA
W1988427943,4,F4320337363,National Institute of Biomedical Imaging and Bioengineering,NA
W1999414798,1,F4320309086,Celgene,NA
W2046342816,1,F4320332161,National Institutes of Health,LM009598
W2031150872,1,F4320332161,National Institutes of Health,NA
W2141684093,1,F4320332161,National Institutes of Health,HG005033
W2143568554,1,F4320332161,National Institutes of Health,5R25 CA047888
W2094965336,1,F4320332161,National Institutes of Health,NA
W2017576027,1,F4320309751,Association Française contre les Myopathies,NA
W2017576027,2,F4320320893,Institut National de la Santé et de la Recherche Médicale,NA
W2017576027,3,F4320321663,Association Nationale de la Recherche et de la Technologie,NA
W1975738088,1,F4320337375,National Center for Research Resources,P41RR001209
W2023351243,1,F4320307105,Amgen,NA
W2023351243,2,F4320337338,"National Heart, Lung, and Blood Institute",NA
W2023351243,3,F4320337345,Office of Naval Research,N00014-06-1-0704 and N00014-08-1-0058
W2023351243,4,F4320337351,National Cancer Institute,U24-CA76518
W2023351243,5,F4320337355,National Institute of Allergy and Infectious Diseases,NA
W1984899205,1,F4320321001,National Natural Science Foundation of China,NA
W1992136358,1,F4320332161,National Institutes of Health,NA
W2091995599,1,F4320306076,National Science Foundation,1006558
W2091995599,2,F4320332161,National Institutes of Health,HL091465
W2094448610,1,F4320306589,Alex's Lemonade Stand Foundation for Childhood Cancer,NA
W2046335795,1,F4320337346,National Institute of Mental Health,NA
W2097408951,1,F4320332161,National Institutes of Health,NA
W2162136024,1,F4320307100,Woodruff Foundation,NA
W2168384904,1,F4320332161,National Institutes of Health,R01 ES019625
W3174618252,1,F4320306230,American Heart Association,11GRNT7890031
W3174618252,2,F4320332161,National Institutes of Health,R01 NS052446
W3168771608,1,F4320306076,National Science Foundation,NA
W3173197253,1,F4320332161,National Institutes of Health,5T32HL072751
W3173197253,2,F4320332161,National Institutes of Health,1RC1DK086817
