id,which_grant,funder_id,funder_name,award_id
W2052045766,1,F4320310620,University of Texas at Austin,NA
W2052045766,2,F4320321106,Ministry of Education of the People's Republic of China,NA
W2126559931,1,F4320306076,National Science Foundation,ITR-0205712
W2126559931,2,F4320306076,National Science Foundation,N00014-01-1-0854
W2126559931,3,F4320306076,National Science Foundation,TC-0209163
W2126559931,4,F4320337345,Office of Naval Research,ITR-0205712
W2126559931,5,F4320337345,Office of Naval Research,N00014-01-1-0854
W2126559931,6,F4320337345,Office of Naval Research,TC-0209163
W2112815677,1,F4320308269,Alexander von Humboldt-Stiftung,NA
W2112815677,2,F4320321114,Bundesministerium für Bildung und Forschung,NA
W2024232625,1,F4320306084,U.S. Department of Energy,DE-FG02-04ER63785
W2024232625,2,F4320306202,Gordon and Betty Moore Foundation,NA
W2024232625,3,F4320311180,Agouron Institute,NA
W2024232625,4,F4320332161,National Institutes of Health,PO1 GM66521
W2024232625,5,F4320333811,"Beckman Institute, California Institute of Technology",NA
W2088113355,1,F4320306076,National Science Foundation,CCR-0307077
W2088113355,2,F4320320875,Deutscher Akademischer Austauschdienst,CCR-0307077
W2098593813,1,F4320320882,Volkswagen Foundation,NA
W2084958909,1,F4320332161,National Institutes of Health,4R33GM066400
W2029692362,1,F4320332161,National Institutes of Health,CA82402
W2073178471,1,F4320311089,National Security Agency,NA
W2073178471,2,F4320323106,Agricultural Research Development Agency,NA
W2073178471,3,F4320338281,Army Research Office,W911NF-04-1-0204
W2977464331,1,F4320309624,Cornell University,NA
W2977464331,2,F4320309646,Virginia Polytechnic Institute and State University,NA
W2977464331,3,F4320332483,"Cooperative State Research, Education, and Extension Service",PX2003-06237
W2029692362,1,F4320332161,National Institutes of Health,CA82402
