id,which_mesh,term,is_major_topic,qualifier_name
W1999097796,1,Quantum Theory,TRUE,
W1999097796,2,Water,TRUE,chemistry
W1999097796,3,Surface Properties,FALSE,
W1999097796,4,Water,FALSE,
W2005472501,1,ErbB Receptors,TRUE,metabolism
W2005472501,2,Mechanoreceptors,TRUE,physiology
W2005472501,3,Biomechanical Phenomena,FALSE,
W2005472501,4,Biomechanical Phenomena,FALSE,physiology
W2005472501,5,Biotin,FALSE,chemistry
W2005472501,6,Biotin,FALSE,
W2005472501,7,Carbocyanines,FALSE,
W2005472501,8,Endocytosis,FALSE,
W2005472501,9,Endocytosis,FALSE,physiology
W2005472501,10,ErbB Receptors,FALSE,
W2005472501,11,Humans,FALSE,
W2005472501,12,Lipid Bilayers,FALSE,
W2005472501,13,Lipid Bilayers,FALSE,metabolism
W2005472501,14,Mechanoreceptors,FALSE,
W2005472501,15,"Microscopy, Fluorescence",FALSE,
W2005472501,16,Nucleotides,FALSE,
W2005472501,17,Phosphatidylcholines,FALSE,physiology
W2005472501,18,Phosphatidylcholines,FALSE,
W2005472501,19,Phosphatidylethanolamines,FALSE,physiology
W2005472501,20,Phosphatidylethanolamines,FALSE,
W2005472501,21,Phosphorylation,FALSE,
W2005472501,22,Polyethylene Glycols,FALSE,chemistry
W2005472501,23,Polyethylene Glycols,FALSE,
W2005472501,24,Rhodamines,FALSE,
W2142672696,1,Nitrobenzenes,TRUE,chemistry
W2142672696,2,Isomerism,FALSE,
W2142672696,3,Nitric Oxide,FALSE,chemistry
W2142672696,4,Nitric Oxide,FALSE,
W2142672696,5,Nitrobenzenes,FALSE,
W2142672696,6,Photochemistry,FALSE,
W2316200618,1,"1,2-Dipalmitoylphosphatidylcholine",TRUE,chemistry
W2316200618,2,Cholesterol,TRUE,chemistry
W2316200618,3,Lipid Bilayers,TRUE,chemistry
W2316200618,4,Phosphatidylcholines,TRUE,chemistry
W2316200618,5,Phospholipids,TRUE,chemistry
W2316200618,6,"1,2-Dipalmitoylphosphatidylcholine",FALSE,
W2316200618,7,Cholesterol,FALSE,
W2316200618,8,Lipid Bilayers,FALSE,
W2316200618,9,Molecular Dynamics Simulation,FALSE,
W2316200618,10,Phosphatidylcholines,FALSE,
W2316200618,11,Phospholipids,FALSE,
W2316200618,12,Thermodynamics,FALSE,
W2102898014,1,"Chemistry, Physical",TRUE,
W2102898014,2,Thymine,TRUE,chemistry
W2102898014,3,Water,TRUE,chemistry
W2102898014,4,Electrochemistry,FALSE,
W2102898014,5,Isomerism,FALSE,
W2102898014,6,Molecular Conformation,FALSE,
W2102898014,7,Molecular Conformation,FALSE,radiation effects
W2102898014,8,Static Electricity,FALSE,
W2102898014,9,Synchrotrons,FALSE,
W2102898014,10,Thermodynamics,FALSE,
W2102898014,11,Thymine,FALSE,
W2102898014,12,Thymine,FALSE,metabolism
W2102898014,13,Ultraviolet Rays,FALSE,
W2102898014,14,Water,FALSE,metabolism
W2102898014,15,Water,FALSE,
W2055028524,1,Electrons,TRUE,
W2055028524,2,Thorium Dioxide,TRUE,chemistry
W2055028524,3,Electrochemistry,FALSE,
W2055028524,4,Thorium Dioxide,FALSE,
W2078267354,1,L-Lactate Dehydrogenase,TRUE,
W2078267354,2,Vibration,TRUE,
W2078267354,3,Catalytic Domain,FALSE,
W2078267354,4,"Crystallography, X-Ray",FALSE,
W2078267354,5,L-Lactate Dehydrogenase,FALSE,metabolism
W2078267354,6,L-Lactate Dehydrogenase,FALSE,chemistry
W2078267354,7,"Models, Molecular",FALSE,
W2078267354,8,NAD,FALSE,metabolism
W2078267354,9,NAD,FALSE,chemistry
W2078267354,10,NAD,FALSE,
W2078267354,11,Protein Conformation,FALSE,
W2078267354,12,Pyruvic Acid,FALSE,chemistry
W2078267354,13,Pyruvic Acid,FALSE,metabolism
W2078267354,14,Pyruvic Acid,FALSE,
W2078267354,15,"Spectroscopy, Fourier Transform Infrared",FALSE,
W2112954050,1,Sodium,TRUE,chemistry
W2112954050,2,Water,TRUE,chemistry
W2112954050,3,Algorithms,FALSE,
W2112954050,4,Cations,FALSE,
W2112954050,5,Cations,FALSE,chemistry
W2112954050,6,Quantum Theory,FALSE,
W2112954050,7,Sodium,FALSE,
W2112954050,8,"Spectrophotometry, Infrared",FALSE,
W2112954050,9,Vibration,FALSE,
W2112954050,10,Water,FALSE,
W2335423403,1,Coordination Complexes,TRUE,chemistry
W2335423403,2,Hydrogen,TRUE,chemistry
W2335423403,3,Nitrogen,TRUE,chemistry
W2335423403,4,Tantalum,TRUE,chemistry
W2335423403,5,Coordination Complexes,FALSE,
W2335423403,6,Hydrogen,FALSE,
W2335423403,7,Kinetics,FALSE,
W2335423403,8,"Models, Molecular",FALSE,
W2335423403,9,Molecular Dynamics Simulation,FALSE,
W2335423403,10,Nitrogen,FALSE,
W2335423403,11,Tantalum,FALSE,
W2335423403,12,Thermodynamics,FALSE,
W2022047631,1,Ethanol,TRUE,chemistry
W2022047631,2,Temperature,TRUE,
W2022047631,3,Ethanol,FALSE,
W2022047631,4,Free Radicals,FALSE,
W2022047631,5,Free Radicals,FALSE,chemistry
W2022047631,6,Kinetics,FALSE,
W2022047631,7,Quantum Theory,FALSE,
W2001898243,1,Lung,TRUE,blood supply
W2001898243,2,Magnetic Resonance Angiography,TRUE,instrumentation
W2001898243,3,Pulmonary Embolism,TRUE,diagnosis
W2001898243,4,"Aorta, Thoracic",FALSE,pathology
W2001898243,5,"Aorta, Thoracic",FALSE,
W2001898243,6,"Clinical Trials, Phase III as Topic",FALSE,statistics & numerical data
W2001898243,7,"Clinical Trials, Phase III as Topic",FALSE,
W2001898243,8,Contrast Media,FALSE,
W2001898243,9,Gadolinium,FALSE,
W2001898243,10,Humans,FALSE,
W2001898243,11,Image Enhancement,FALSE,
W2001898243,12,Lung,FALSE,
W2001898243,13,Magnetic Fields,FALSE,
W2001898243,14,Magnetic Resonance Angiography,FALSE,methods
W2001898243,15,Magnetic Resonance Angiography,FALSE,
W2001898243,16,Multicenter Studies as Topic,FALSE,statistics & numerical data
W2001898243,17,Multicenter Studies as Topic,FALSE,
W2001898243,18,Pulmonary Artery,FALSE,pathology
W2001898243,19,Pulmonary Artery,FALSE,
W2001898243,20,Pulmonary Embolism,FALSE,pathology
W2001898243,21,Pulmonary Embolism,FALSE,
W2001898243,22,Pulmonary Veins,FALSE,pathology
W2001898243,23,Pulmonary Veins,FALSE,
W2001898243,24,Retrospective Studies,FALSE,
W2001898243,25,Signal-To-Noise Ratio,FALSE,
W2006304878,1,"Spectroscopy, Fourier Transform Infrared",TRUE,instrumentation
W2006304878,2,"2,2'-Dipyridyl",FALSE,chemistry
W2006304878,3,"2,2'-Dipyridyl",FALSE,analogs & derivatives
W2006304878,4,"2,2'-Dipyridyl",FALSE,
W2006304878,5,Animals,FALSE,
W2006304878,6,Coordination Complexes,FALSE,
W2006304878,7,Equipment Design,FALSE,
W2006304878,8,Horses,FALSE,
W2006304878,9,Lasers,FALSE,
W2006304878,10,Myoglobin,FALSE,chemistry
W2006304878,11,Myoglobin,FALSE,
W2006304878,12,Photolysis,FALSE,
W2006304878,13,"Spectroscopy, Fourier Transform Infrared",FALSE,methods
W2006304878,14,"Spectroscopy, Fourier Transform Infrared",FALSE,
W2086535976,1,Hydrogen,TRUE,isolation & purification
W2086535976,2,Hydrogen,TRUE,chemistry
W2086535976,3,Magnetic Resonance Spectroscopy,TRUE,instrumentation
W2086535976,4,Microfluidics,TRUE,instrumentation
W2086535976,5,Equipment Design,FALSE,
W2086535976,6,Equipment Failure Analysis,FALSE,
W2086535976,7,Hydrogen,FALSE,
W2086535976,8,Magnetic Resonance Spectroscopy,FALSE,
W2086535976,9,Microfluidics,FALSE,
W2091746948,1,Molecular Dynamics Simulation,TRUE,
W2091746948,2,Quartz,TRUE,chemistry
W2091746948,3,Water,TRUE,chemistry
W2091746948,4,Molecular Conformation,FALSE,
W2091746948,5,Quantum Theory,FALSE,
W2091746948,6,Quartz,FALSE,
W2091746948,7,Surface Properties,FALSE,
W2091746948,8,Water,FALSE,
W2028956366,1,Citrates,TRUE,chemistry
W2028956366,2,Esters,TRUE,chemistry
W2028956366,3,Hibiscus,TRUE,chemistry
W2028956366,4,Circular Dichroism,FALSE,
W2028956366,5,Molecular Conformation,FALSE,
W2028956366,6,Quantum Theory,FALSE,
W2028956366,7,Stereoisomerism,FALSE,
W2028956366,8,Vibration,FALSE,
W2052198847,1,Brain Injuries,TRUE,physiopathology
W2052198847,2,Intracranial Pressure,TRUE,physiology
W2052198847,3,"Monitoring, Physiologic",TRUE,methods
W2052198847,4,Oxygen,TRUE,physiology
W2052198847,5,Adult,FALSE,
W2052198847,6,Aged,FALSE,
W2052198847,7,Brain Injuries,FALSE,mortality
W2052198847,8,Brain Injuries,FALSE,
W2052198847,9,Cohort Studies,FALSE,
W2052198847,10,Female,FALSE,
W2052198847,11,Hemodynamics,FALSE,
W2052198847,12,Humans,FALSE,
W2052198847,13,Intracranial Pressure,FALSE,
W2052198847,14,Male,FALSE,
W2052198847,15,Middle Aged,FALSE,
W2052198847,16,"Monitoring, Physiologic",FALSE,
W2052198847,17,Oxygen,FALSE,
W2052198847,18,Retrospective Studies,FALSE,
W2322940853,1,"Membranes, Artificial",TRUE,
