id,which_grant,funder_id,funder_name,award_id
W3021094251,1,F4320306084,U.S. Department of Energy,DE-AC02-06CH11357
W3021094251,2,F4320307793,Western Digital,NA
W3021094251,3,F4320335353,National Science Foundation of Sri Lanka,CCF-1911094
W3021094251,4,F4320335353,National Science Foundation of Sri Lanka,IIS-1838177
W3021094251,5,F4320335353,National Science Foundation of Sri Lanka,IIS-1730574
W3021094251,6,F4320337345,Office of Naval Research,N00014-18-1-2047
W3021094251,7,F4320338279,Air Force Office of Scientific Research,FA9550-18-1-0478
W2969744910,1,F4320306076,National Science Foundation,PHY-1607611
W2969744910,2,F4320306084,U.S. Department of Energy,DE-SC0018216
W2969744910,3,F4320306101,National Aeronautics and Space Administration,80NSSC18K0728
W2969744910,4,F4320306101,National Aeronautics and Space Administration,80NSSC20K0518
W2969744910,5,F4320309911,Aix-Marseille Université,NA
W2969744910,6,F4320310145,Johns Hopkins University,NA
W2969744910,7,F4320313676,Swarthmore College,NA
W2969744910,8,F4320322364,Labex,ANR-11-LABX-0060
W2969744910,9,F4320322892,Centre National de la Recherche Scientifique,NA
W2969744910,10,F4320323365,Kyoto University,NA
W2969744910,11,F4320326625,"Yukawa Institute for Theoretical Physics, Kyoto University",NA
W2969744910,12,F4320337427,"Kavli Institute for Theoretical Physics, University of California, Santa Barbara",NA
W3103385539,1,F4320306101,National Aeronautics and Space Administration,17-XRP17_2-0012
W3103385539,2,F4320334704,Australian Research Council,DP180104235
W3013085514,1,F4320320879,Deutsche Forschungsgemeinschaft,KU2685/11-1
W3013085514,2,F4320337725,"U.S. Science Support Program, Lamont-Doherty Earth Observatory",NA
W3093112557,1,F4320306076,National Science Foundation,PHY-1607611
W2994367205,1,F4320306084,U.S. Department of Energy,DE-SC0007859
W2994367205,2,F4320320879,Deutsche Forschungsgemeinschaft,KO 4820/4-1
W2994367205,3,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,200021-159720
W2994367205,4,F4320334704,Australian Research Council,NA
W2994367205,5,F4320338335,H2020 European Research Council,637506
W2972705810,1,F4320306076,National Science Foundation,NA
W2972705810,2,F4320306084,U.S. Department of Energy,NA
W2972705810,3,F4320320719,"Department of Science and Technology, Ministry of Science and Technology, India",NA
W2972705810,4,F4320321001,National Natural Science Foundation of China,NA
W2972705810,5,F4320321005,"Ministerstvo Školství, Mládeže a Tělovýchovy",NA
W2972705810,6,F4320321006,Grantová Agentura České Republiky,NA
W2972705810,7,F4320321114,Bundesministerium für Bildung und Forschung,NA
W2972705810,8,F4320321133,Chinese Academy of Sciences,NA
W2972705810,9,F4320321912,Ministry of Education and Science of the Russian Federation,NA
W2972705810,10,F4320322120,National Research Foundation of Korea,NA
W2972705810,11,F4320322511,Narodowe Centrum Nauki,NA
W2972705810,12,F4320325306,State Atomic Energy Corporation ROSATOM,NA
W2972705810,13,F4320325698,Helmholtz Association,NA
W2972705810,14,F4320326762,Nemzeti Kutatási Fejlesztési és Innovációs Hivatal,NA
W2972705810,15,F4320337512,Nuclear Physics,NA
W2999351056,1,F4320306076,National Science Foundation,1854436
W2999351056,2,F4320334764,Japan Society for the Promotion of Science,17J11096
W2999351056,3,F4320334764,Japan Society for the Promotion of Science,18H04100
W2999351056,4,F4320337338,"National Heart, Lung, and Blood Institute",R01HL142504
W2999351056,5,F4320337338,"National Heart, Lung, and Blood Institute",R01HL129077
W3045397435,1,F4320312931,UK Space Agency,ST/S001476/1
W3045397435,2,F4320312931,UK Space Agency,ST/S001492/1
W3045397435,3,F4320312931,UK Space Agency,ST/N000579/1
W3045397435,4,F4320321504,Carlsbergfondet,NA
W3017235337,1,F4320306101,National Aeronautics and Space Administration,HST-GO-15658
W3017235337,2,F4320306101,National Aeronautics and Space Administration,HST-AR-15006
W3017235337,3,F4320306101,National Aeronautics and Space Administration,NAS5-26555
W3017235337,4,F4320306101,National Aeronautics and Space Administration,NAS8-03060
W3017235337,5,F4320306101,National Aeronautics and Space Administration,HST-AR-14282
W3017235337,6,F4320306101,National Aeronautics and Space Administration,HST-AR-14554
