id,which_mesh,term,is_major_topic,qualifier_name
W4400445835,1,Computer Simulation,FALSE,
W4400445835,2,"DNA, Single-Stranded",FALSE,chemistry
W4400445835,3,"Models, Molecular",FALSE,
W4400445835,4,Molecular Conformation,FALSE,
W4400445835,5,"Nanotubes, Carbon",FALSE,chemistry
W4400445835,6,Spectrophotometry,FALSE,
W4400445835,7,Surface Properties,FALSE,
W4401565006,1,Animals,FALSE,
W4401565006,2,Forensic Anthropology,FALSE,
W4401565006,3,Forensic Pathology,FALSE,methods
W4401565006,4,Microscopy,FALSE,
W4401565006,5,"Models, Animal",FALSE,
W4401565006,6,Swine,FALSE,
W4401565006,7,Weapons,FALSE,
W4401565006,8,"Wounds, Stab",FALSE,pathology
W4399484522,1,"Adaptor Proteins, Signal Transducing",FALSE,genetics
W4399484522,2,Brain Neoplasms,FALSE,genetics
W4399484522,3,DNA Methylation,FALSE,
W4399484522,4,Female,FALSE,
W4399484522,5,Humans,FALSE,
W4399484522,6,Male,FALSE,
W4399484522,7,"Neoplasms, Neuroepithelial",FALSE,genetics
W4399484522,8,"Oncogene Proteins, Fusion",FALSE,genetics
W4399484522,9,Phosphoproteins,FALSE,genetics
W4399484522,10,Transcription Factors,FALSE,genetics
W4399484522,11,YAP-Signaling Proteins,FALSE,
W4391466868,1,Animals,FALSE,
W4391466868,2,Biomechanical Phenomena,FALSE,
W4391466868,3,"Flight, Animal",FALSE,
W4391466868,4,Insecta,FALSE,
W4391466868,5,Mechanical Phenomena,FALSE,
W4391466868,6,"Models, Biological",FALSE,
W4391466868,7,"Wings, Animal",FALSE,
W4391964579,1,Ions,FALSE,
W4391964579,2,Peptides,FALSE,chemistry
W4391964579,3,"Serum Albumin, Bovine",FALSE,
W4391964579,4,"Spectrometry, Mass, Electrospray Ionization",FALSE,methods
W4396943607,1,Biomechanical Phenomena,FALSE,
W4396943607,2,Oceans and Seas,FALSE,
W4396943607,3,Swimming,FALSE,physiology
W4392504610,1,Extraterrestrial Environment,FALSE,chemistry
W4392504610,2,Galaxies,FALSE,
W4392504610,3,"Stars, Celestial",FALSE,
W4392504610,4,Time Factors,FALSE,
W4405514945,1,Extraterrestrial Environment,FALSE,chemistry
W4405514945,2,Galaxies,FALSE,
W4405514945,3,"Models, Theoretical",FALSE,
W4405514945,4,Time Factors,FALSE,
W4394805929,1,Adenosine Monophosphate,FALSE,chemistry
W4394805929,2,Hot Temperature,FALSE,
W4394805929,3,Hydrolysis,FALSE,
W4394805929,4,"Microscopy, Atomic Force",FALSE,
W4394805929,5,Polymerization,FALSE,
W4394805929,6,Polymers,FALSE,chemistry
W4394805929,7,RNA,FALSE,chemistry
W4394805929,8,"Ribonuclease, Pancreatic",FALSE,chemistry
W4394805929,9,Uridine Monophosphate,FALSE,chemistry
W4392721557,1,Lipid Bilayers,FALSE,chemistry
W4392721557,2,Liposomes,FALSE,chemistry
W4392721557,3,Oxidation-Reduction,FALSE,
W4392721557,4,Protons,FALSE,
W4392721557,5,Sulfites,FALSE,
W4404674536,1,Hot Springs,FALSE,chemistry
W4404674536,2,Nucleic Acids,FALSE,chemistry
W4404674536,3,Polymerization,FALSE,
W4404674536,4,Polymers,FALSE,chemistry
W4404674536,5,Water,FALSE,chemistry
W4403824402,1,Aircraft,FALSE,
W4403824402,2,Animals,FALSE,
W4403824402,3,Biomechanical Phenomena,FALSE,
W4403824402,4,Birds,FALSE,physiology
W4403824402,5,Feathers,FALSE,physiology
W4403824402,6,"Flight, Animal",FALSE,physiology
W4403824402,7,"Models, Biological",FALSE,
W4403824402,8,"Wings, Animal",FALSE,physiology
W4404024850,1,Animals,FALSE,
W4404024850,2,Biological Evolution,FALSE,
W4404024850,3,Birds,FALSE,anatomy & histology
W4404024850,4,China,FALSE,
W4404024850,5,Dinosaurs,FALSE,anatomy & histology
W4404024850,6,Feathers,FALSE,anatomy & histology
W4404024850,7,Fossils,FALSE,
W4404024850,8,Geologic Sediments,FALSE,
W4404024850,9,Paleontology,FALSE,methods
W4404024850,10,Silicates,FALSE,
W4404024850,11,Volcanic Eruptions,FALSE,
W4404024850,12,Zirconium,FALSE,
W4401856011,1,COVID-19 Vaccines,FALSE,chemistry
W4401856011,2,Lipids,FALSE,chemistry
W4401856011,3,Nanoparticles,FALSE,chemistry
W4401506363,1,"Evolution, Molecular",FALSE,
